Region ,Dead,Lon,Lat
Mediterranean,<Null>,15.0073,34.2708
Mediterranean,25.00,12.7661,34.2890
Mediterranean,5.00,13.6670,35.1199
Mediterranean,1.00,-2.6257,36.1734
Mediterranean,4.00,-5.3255,35.9272
Mediterranean,14.00,15.8203,35.7465
Mediterranean,<Null>,14.7437,34.2345
Mediterranean,6.00,<Null>,<Null>
Mediterranean,1.00,15.8203,35.1738
Mediterranean,100.00,13.3818,32.8279
Mediterranean,3.00,27.0371,37.3511
Mediterranean,9.00,11.4066,33.2548
Mediterranean,6.00,27.4196,37.0059
Mediterranean,1.00,13.9565,35.6460
Mediterranean,3.00,15.4688,34.3071
Mediterranean,17.00,<Null>,<Null>
Mediterranean,5.00,30.3222,31.9148
Mediterranean,5.00,11.4892,35.9492
Mediterranean,1.00,14.0625,36.5979
Mediterranean,5.00,14.1119,36.5626
Mediterranean,3.00,31.2891,31.6534
Mediterranean,5.00,-1.5923,35.9090
Mediterranean,1.00,20.2656,39.5039
Mediterranean,1.00,27.2889,36.8933
Mediterranean,3.00,26.5573,39.3444
Mediterranean,<Null>,26.5128,39.2408
Mediterranean,10.00,26.3998,39.3491
Mediterranean,14.00,25.9866,39.4455
Mediterranean,7.00,13.1899,32.9560
Mediterranean,<Null>,27.2961,36.9214
Mediterranean,1.00,27.4299,37.0383
Mediterranean,1.00,26.4997,39.2445
Mediterranean,4.00,27.0676,38.0227
Mediterranean,1.00,26.4640,38.3818
Mediterranean,9.00,27.3076,36.8933
Mediterranean,8.00,29.9182,31.5943
Mediterranean,1.00,26.9929,37.4590
Mediterranean,8.00,27.6166,36.8637
Mediterranean,1.00,27.2526,37.8472
Mediterranean,4.00,26.5152,39.3146
Mediterranean,5.00,26.4069,39.5030
Mediterranean,3.00,26.2463,38.4062
Mediterranean,1.00,29.4989,36.1592
Mediterranean,3.00,27.1076,37.2762
Mediterranean,6.00,26.2144,38.3320
Mediterranean,4.00,27.1181,37.3188
Mediterranean,1.00,27.1332,37.3052
Mediterranean,1.00,27.3110,36.8826
Mediterranean,12.00,27.0222,37.4710
